Country Name,"Country Code","Series Name","Series Code","2000 [YR2000]","2005 [YR2005]","2010 [YR2010]","2015 [YR2015]","2020 [YR2020]"
"Bahamas, The","BHS","GDP (current US$)","NY.GDP.MKTP.CD","8076470000","9836200000","10095760000","11837600000","10363200000"
"Bahamas, The","BHS","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","72.481","73.413","73.449","73.805","72.994"
Bahrain,"BHR","Population, total","SP.POP.TOTL","637582","888822","1228543","1370322","1472204"
Bahrain,"BHR","GDP (current US$)","NY.GDP.MKTP.CD","9062898936.17021","15968723404.2553","26805984042.5532","32523297872.3404","35837632978.7234"
Bahrain,"BHR","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","74.673","76.125","78.593","80.338","78.683"
Bangladesh,"BGD","Population, total","SP.POP.TOTL","134544304","144715786","152201981","159383179","166298024"
Bangladesh,"BGD","GDP (current US$)","NY.GDP.MKTP.CD","53369787318.6245","69476001239.419","115275540051.262","195146608978.131","373979442362.193"
Bangladesh,"BGD","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","62.049","65.509","68.009","70.543","71.421"
Barbados,"BRB","Population, total","SP.POP.TOTL","262063","268706","275243","278990","281698"
Barbados,"BRB","GDP (current US$)","NY.GDP.MKTP.CD","3059500000","3819500000","5191188500","5288057750","5168344450"
Barbados,"BRB","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","74.58","74.96","75.488","76.055","76.647"
Belarus,"BLR","Population, total","SP.POP.TOTL","9979610","9663915","9483836","9461076","9379952"
Belarus,"BLR","GDP (current US$)","NY.GDP.MKTP.CD","12736780455.1539","30210091836.8294","57231904542.8755","56454769844.7632","61371673344.7424"
Belarus,"BLR","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","68.9121951219512","68.8512195121951","70.4048780487805","73.6243902439025","72.1385609756098"
Belgium,"BEL","Population, total","SP.POP.TOTL","10251250","10478617","10895586","11274196","11538604"
Belgium,"BEL","GDP (current US$)","NY.GDP.MKTP.CD","236792460312.471","385714762230.039","481556503720.001","461044767544.531","529694473501.791"
Belgium,"BEL","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","77.7219512195122","78.9804878048781","80.1829268292683","80.9926829268293","80.6951219512195"
Belize,"BLZ","Population, total","SP.POP.TOTL","240799","279731","320245","356333","390812"
Belize,"BLZ","GDP (current US$)","NY.GDP.MKTP.CD","1138900000","1474950000","1745700000","2193050000","2042850000"
Belize,"BLZ","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","68.911","70.335","70.875","71.647","71.58"
Benin,"BEN","Population, total","SP.POP.TOTL","7221619","8426144","9797484","11360681","13070169"
Benin,"BEN","GDP (current US$)","NY.GDP.MKTP.CD","3519991440.47913","6567654954.38903","9535345015.78355","11388160996.7738","15686741893.5187"
Benin,"BEN","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","56.594","57.738","58.387","59.123","60.154"
Bermuda,"BMU","Population, total","SP.POP.TOTL","61550","62711","63725","63464","64382"
Bermuda,"BMU","GDP (current US$)","NY.GDP.MKTP.CD","3480219000","4868136000","6634526000","6654541000","6887364000"
Bermuda,"BMU","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","78.251","78.874","79.414","80.338","81.456"
Bhutan,"BTN","Population, total","SP.POP.TOTL","596863","661865","701632","740618","770006"
Bhutan,"BTN","GDP (current US$)","NY.GDP.MKTP.CD","460733418.399276","860391000.221655","1708880730.20989","2187815803.36833","2457604333.90927"
Bhutan,"BTN","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","61.842","65.875","68.765","70.797","72.253"
Bolivia,"BOL","Population, total","SP.POP.TOTL","8606326","9360754","10182345","11014705","11816299"
Bolivia,"BOL","GDP (current US$)","NY.GDP.MKTP.CD","8397855484.76908","9549122905.32852","19649723722.1034","33000198248.9146","36629843806.0781"
Bolivia,"BOL","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","62.057","64.182","66.003","67.205","62.906"
Bosnia and Herzegovina,"BIH","Population, total","SP.POP.TOTL","4159771","4096493","3811472","3518541","3299349"
Bosnia and Herzegovina,"BIH","GDP (current US$)","NY.GDP.MKTP.CD","5567772768.81188","11222796336.5426","17176315803.7298","16404348871.4437","20226036564.4129"
Bosnia and Herzegovina,"BIH","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","75.292","76.424","76.827","77.073","76.04"
Botswana,"BWA","Population, total","SP.POP.TOTL","1677382","1839877","2033111","2203273","2365894"
Botswana,"BWA","GDP (current US$)","NY.GDP.MKTP.CD","5788329609.15755","9918907108.09702","12637273429.1339","13530748844.505","14960251610.8975"
Botswana,"BWA","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","52.263","54.386","59.137","63.215","67.643"
British Virgin Islands,"VGB","Population, total","SP.POP.TOTL","20241","23665","27675","34498","37135"
British Virgin Islands,"VGB","GDP (current US$)","NY.GDP.MKTP.CD","..","..","..","..",".."
British Virgin Islands,"VGB","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","74.753","75.569","76.289","76.558","76.894"
Brunei Darussalam,"BRN","Population, total","SP.POP.TOTL","326424","358916","392332","422212","447404"
Brunei Darussalam,"BRN","GDP (current US$)","NY.GDP.MKTP.CD","6570999059.70575","10547202612.4295","13707121031.2552","12930296852.4882","12005799664.2691"
Brunei Darussalam,"BRN","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","74.017","74.683","74.82","74.88","75.114"
Bulgaria,"BGR","Population, total","SP.POP.TOTL","8170172","7658972","7395599","6984225","6550696"
Bulgaria,"BGR","GDP (current US$)","NY.GDP.MKTP.CD","13245990274.4581","29868657858.0082","50689051382.4361","50765918159.1476","70550652466.6251"
Bulgaria,"BGR","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","71.6634146341463","72.5609756097561","73.5121951219512","74.6146341463415","73.3560975609756"
Burkina Faso,"BFA","Population, total","SP.POP.TOTL","11925546","13932123","16176498","18777487","21478690"
Burkina Faso,"BFA","GDP (current US$)","NY.GDP.MKTP.CD","2968370087.59759","6146353173.34929","10109619740.6994","11832159315.6298","17725010532.5268"
Burkina Faso,"BFA","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","50.808","53.271","56.343","58.778","60.454"
Burundi,"BDI","Population, total","SP.POP.TOTL","6470194","7587299","9376444","11047580","12617036"
Burundi,"BDI","GDP (current US$)","NY.GDP.MKTP.CD","870486065.883137","1117113079.73645","2032135192.01248","3104003546.26497","2649680261.44299"
Burundi,"BDI","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","47.617","53.053","57.088","60.107","62.569"
Cabo Verde,"CPV","Population, total","SP.POP.TOTL","453317","485115","509784","512394","514679"
Cabo Verde,"CPV","GDP (current US$)","NY.GDP.MKTP.CD","539227277.626411","972241676.907662","1824751467.92957","1749857620.35329","1821565613.68613"
Cabo Verde,"CPV","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","68.117","70.936","72.507","74.096","73.818"
Cambodia,"KHM","Population, total","SP.POP.TOTL","12462336","13439202","14500726","15623251","16725474"
Cambodia,"KHM","GDP (current US$)","NY.GDP.MKTP.CD","3694168979.32019","7066296463.3598","13808673288.0696","24174170369.0738","34818073901.4851"
Cambodia,"KHM","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","59.491","64.113","67.311","69.398","70.059"
Cameroon,"CMR","Population, total","SP.POP.TOTL","14912631","17074594","19668066","22763414","26210558"
Cameroon,"CMR","GDP (current US$)","NY.GDP.MKTP.CD","10566579294.9831","19509852206.9341","27507501821.0296","32210233020.4569","40773241177.0505"
Cameroon,"CMR","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","53.338","54.904","56.965","59.687","61.674"
Canada,"CAN","Population, total","SP.POP.TOTL","30685730","32242732","34005902","35704498","38028638"
Canada,"CAN","GDP (current US$)","NY.GDP.MKTP.CD","744773415931.587","1173108598778.68","1617343367486.26","1556508816217.14","1655684730000.19"
Canada,"CAN","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","79.1668292682927","80.1126829268293","81.3221951219512","81.8258536585366","81.5351219512195"
Cayman Islands,"CYM","Population, total","SP.POP.TOTL","39674","46788","54099","61642","68684"
Cayman Islands,"CYM","GDP (current US$)","NY.GDP.MKTP.CD","..","..","4156841107.36443","4708167232.66893","5655358021.43209"
Cayman Islands,"CYM","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","74.378","74.863","76.069","78.119","79.23"
Central African Republic,"CAF","Population, total","SP.POP.TOTL","3833416","4288810","4492995","4629320","5026628"
Central African Republic,"CAF","GDP (current US$)","NY.GDP.MKTP.CD","916777282.691659","1337894378.73743","2142591540.40068","1695825714.19282","2326720900.38047"
Central African Republic,"CAF","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","46.609","48.207","46.871","51.934","50.596"
Chad,"TCD","Population, total","SP.POP.TOTL","8512093","10328092","12312575","14647621","17224679"
Chad,"TCD","GDP (current US$)","NY.GDP.MKTP.CD","1388506771.58756","8655892392.92919","14058506663.7252","14559599499.5011","14932897821.2387"
Chad,"TCD","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","47.937","48.86","50.107","51.32","53.082"
Channel Islands,"CHI","Population, total","SP.POP.TOTL","148110","153126","158621","163454","166235"
Channel Islands,"CHI","GDP (current US$)","NY.GDP.MKTP.CD","6439703434.71024","8827272727.27273","8902070457.35476","10109968831.1688","9439810769.23077"
Channel Islands,"CHI","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","78.8","80.1","81.2","81.4","80.9"
Chile,"CHL","Population, total","SP.POP.TOTL","15503635","16348778","17181464","18047625","19370624"
Chile,"CHL","GDP (current US$)","NY.GDP.MKTP.CD","78339750721.364","122294145163.192","217051209238.534","242450355830.884","254042159309.311"
Chile,"CHL","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","77.128","78.459","79.095","80.008","79.349"
Colombia,"COL","Population, total","SP.POP.TOTL","39089934","42128977","44777319","46969940","50629997"
Colombia,"COL","GDP (current US$)","NY.GDP.MKTP.CD","99875074951.0278","145600529605.803","286498534094.963","293492370193.166","270348342541.465"
Colombia,"COL","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","70.905","73.156","74.876","76.067","74.757"
Comoros,"COM","Population, total","SP.POP.TOTL","536080","592677","654836","726682","802163"
Comoros,"COM","GDP (current US$)","NY.GDP.MKTP.CD","351136579.648632","653845169.168576","907979446.419588","966029599.801228","1225039195.93742"
Comoros,"COM","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","58.941","60.883","62.747","64.473","65.756"
"Congo, Dem. Rep.","COD","Population, total","SP.POP.TOTL","50507442","58775724","68563038","81035531","95989998"
"Congo, Dem. Rep.","COD","GDP (current US$)","NY.GDP.MKTP.CD","19088046305.7971","11964484465.9388","21565721044.8462","37917706497.1793","48716961860.1325"
"Congo, Dem. Rep.","COD","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","51.887","54.001","56.411","58.658","60.428"
"Congo, Rep.","COG","Population, total","SP.POP.TOTL","3151345","3696393","4462290","5097581","5752791"
"Congo, Rep.","COG","GDP (current US$)","NY.GDP.MKTP.CD","3227927697.57921","6650001680.48544","13148396211.5955","12434793867.3568","11468687464.0046"
"Congo, Rep.","COG","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","55.371","58.73","61.731","63.662","64.391"
Costa Rica,"CRI","Population, total","SP.POP.TOTL","3937739","4261240","4555962","4818038","5034320"
Costa Rica,"CRI","GDP (current US$)","NY.GDP.MKTP.CD","15013629661.8969","20040642476.9817","37658616951.8182","56441920820.5538","62395610759.9798"
Costa Rica,"CRI","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","77.317","78.877","79.354","80.407","79.725"
Cote d'Ivoire,"CIV","Population, total","SP.POP.TOTL","17699004","20068458","22488065","25246342","28915449"
Cote d'Ivoire,"CIV","GDP (current US$)","NY.GDP.MKTP.CD","16577533891.8785","24036918703.1747","34936307980.063","45815005169.2651","63027852805.4204"
Cote d'Ivoire,"CIV","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","51.393","52.432","55.282","58.281","60.14"
Croatia,"HRV","Population, total","SP.POP.TOTL","4468302","4310145","4295427","4151725","3914206"
Croatia,"HRV","GDP (current US$)","NY.GDP.MKTP.CD","22134411297.473","45013119281.806","58981738868.753","51005200669.6941","57963370885.0798"
Croatia,"HRV","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","72.8078048780488","75.2446341463415","76.4756097560976","77.2756097560976","77.5243902439024"
